"","adm2_code","mean","date"
"279","77364",34.0628121575854,2024-10-10
"280","77317",8.8443191086382,2024-10-10
"281","77364",31.381147502475,2024-10-11
"282","77317",25.0121143696418,2024-10-11
"283","77364",38.6513756840112,2024-10-12
"284","77317",21.1680728278722,2024-10-12
"285","77364",36.6312128952993,2024-10-13
"286","77317",25.2316679905519,2024-10-13
"287","77364",35.7274700120152,2024-10-14
"288","77317",19.4824859917291,2024-10-14
"289","77364",28.9645090599161,2024-10-15
"290","77317",27.3685739584339,2024-10-15
"291","77317",29.278079723008,2024-10-16
"292","77364",28.3721847905974,2024-10-17
"293","77317",21.2686590231189,2024-10-17
"294","77364",31.3825572882759,2024-10-18
"295","77317",23.4042164967354,2024-10-18
"296","77364",36.1208333235138,2024-10-19
"297","77317",15.9373461871058,2024-10-19
"298","77364",32.8851895353774,2024-10-20
"299","77317",25.6343565524957,2024-10-20
"300","77317",25.8227946041882,2024-10-21
"301","77364",24.5911473344536,2024-10-22
"302","77317",29.1582080194706,2024-10-22
"303","77317",33.2832523568557,2024-10-23
"304","77364",30.147627137875,2024-10-24
"305","77317",25.34058215235,2024-10-24
"306","77364",36.0409772099408,2024-10-25
"307","77317",27.0732335931664,2024-10-25
"308","77364",34.403110467407,2024-10-26
"309","77317",28.9485654771558,2024-10-26
"310","77364",31.2123351813549,2024-10-27
"311","77317",20.6660417222596,2024-10-27
"312","77364",30.1434935402005,2024-10-28
"313","77317",21.8338264872598,2024-10-28
"314","77364",33.8405363130274,2024-10-29
"315","77317",20.6774239880915,2024-10-29
"316","77364",35.348978477924,2024-10-30
"317","77317",28.40907217443,2024-10-30
"318","77364",29.6374414239061,2024-10-31
"319","77317",29.129707335274,2024-10-31
"320","77364",35.1713421596441,2024-11-01
"321","77317",28.8819707150976,2024-11-01
"322","77364",34.0590968100533,2024-11-02
"323","77317",25.952283925701,2024-11-02
"324","77364",39.6303899107716,2024-11-03
"325","77317",19.3385633742124,2024-11-03
"326","77364",36.7407023545848,2024-11-04
"327","77317",16.6032814570542,2024-11-04
"328","77364",35.8015349493054,2024-11-05
"329","77317",21.1178105254705,2024-11-05
"330","77364",32.9994017101782,2024-11-06
"331","77317",28.3364505082063,2024-11-06
"332","77364",27.7667888015745,2024-11-07
"333","77317",23.4493577172222,2024-11-07
"334","77317",22.2103347207373,2024-11-08
"335","77317",29.3346333503381,2024-11-09
"336","77317",31.0350966549409,2024-11-11
"337","77317",28.569308350572,2024-11-12
"338","77364",30.26284883371,2024-11-13
"339","77317",26.3078612618187,2024-11-13
"340","77317",31.8183045614141,2024-11-14
"341","77364",24.810479637113,2024-11-15
"342","77317",28.2965602621524,2024-11-15
"343","77364",31.6934177975413,2024-11-16
"344","77317",31.7663074520804,2024-11-16
"345","77364",33.6604266351268,2024-11-17
"346","77317",32.9149796450552,2024-11-17
"347","77364",32.921278687036,2024-11-18
"348","77317",29.6851952045326,2024-11-18
"349","77317",31.6262565013412,2024-11-19
"350","77364",33.7944552099737,2024-11-20
"351","77317",27.300090826827,2024-11-20
"352","77364",30.6084744258255,2024-11-21
"353","77317",32.2407164730698,2024-11-21
